name,position,start
Manuel Heitor,"Ministro da Ciência, Tecnologia e Ensino Superior",2015-11-26
João Barroso Soares,Ministro da Cultura,2015-11-26
José Alberto Azeredo Lopes,Ministro da Defesa Nacional,2015-11-26
Tiago Brandão Rodrigues,Ministro da Educação,2015-11-26
Francisca Van Dunem,Ministro da Justiça,2015-11-26
Adalberto Campos Fernandes,Ministro da Saúde,2015-11-26
Mário Centeno,Ministro das Finanças,2015-11-26
João Pedro Matos Fernandes,Ministro do Ambiente,2015-11-26
Ana Paula Vitorino,Ministro do Mar,2015-11-26
António Costa,Primeiro-Ministro de Portugal,2015-11-26
Alexandra Leitão,Secretário de Estado Adjunto e da Educação,2015-11-26
Helena Ribeiro,Secretário de Estado Adjunto e da Justiça,2015-11-26
Jorge Nogueiro Gomes,Secretário de Estado da Administração Interna,2015-11-26
João Costa,Secretário de Estado da Educação,2015-11-26
João Wengorovius Meneses,Secretário de Estado da Juventude e do Desporto,2015-11-26
Miguel Prata Roque,Secretário de Estado da Presidência do Conselho de Ministros,2015-11-26
José Apolinário,Secretário de Estado das Pescas,2015-11-26
Ana Mendes Godinho,Secretário de Estado do Turismo,2015-11-26
Luís Filipe Castro Mendes,Ministro da Cultura,2016-04-14
Eduardo Cabrita,Ministro da Administração Interna,2017-10-21
Nelson de Souza,Ministro do Planeamento,2018-02-18
João Gomes Cravinho,Ministro da Defesa Nacional,2018-10-15
Marta Temido,Ministro da Saúde,2018-10-15
Pedro Siza Vieira,"Ministro de Estado, da Economia e da Transição Digital",2018-10-15
João Pedro Matos Fernandes,Ministro do Ambiente e Transição Energética,2018-10-15
Ângela Ferreira,Secretário de Estado da Cultura,2018-10-17
João Ataíde das Neves,Secretário de Estado do Ambiente,2019-04-11
Maria do Céu Antunes,Ministro da Agricultura,2019-10-26
Ana Abrunhosa,Ministro da Coesão Territorial,2019-10-26
Graça Fonseca,Ministro da Cultura,2019-10-26
Alexandra Leitão,Ministro da Modernização do Estado e da Administração Pública,2019-10-26
Pedro Nuno Santos,Ministro das Infraestruturas e da Habitação,2019-10-26
Mariana Vieira da Silva,Ministro de Estado e da Presidência,2019-10-26
Pedro Siza Vieira,"Ministro de Estado, da Economia e da Transição Digital",2019-10-26
João Pedro Matos Fernandes,Ministro do Ambiente e da Ação Climática,2019-10-26
Ricardo Serrão Santos,Ministro do Mar,2019-10-26
Ana Mendes Godinho,"Ministro do Trabalho, Solidariedade e Segurança Social",2019-10-26
Augusto Santos Silva,Ministro dos Negócios Estrangeiros,2019-10-26
João Costa,Secretário de Estado Adjunto e da Educação,2019-10-26
Ângela Ferreira,Secretário de Estado Adjunto e do Património Cultural,2019-10-26
Susana Amador,Secretário de Estado da Educação,2019-10-26
André Moz Caldas,Secretário de Estado da Presidência do Conselho de Ministros,2019-10-26
Berta Nunes,Secretário de Estado das Comunidades Portuguesas,2019-10-26
José Fernando Gomes Mendes,Secretário de Estado do Planeamento,2019-10-26
Rita Marques,Secretário de Estado do Turismo,2019-10-28
João Leão,Ministro das Finanças,2020-06-15
João Leão,Ministro das Finanças,2020-06-15
João Nuno Mendes,Secretário de Estado das Finanças,2020-06-15
João Nuno Mendes,Secretário de Estado das Finanças,2020-06-15
Marina Gonçalves,Secretário de Estado da Habitação,2020-09-17
Marina Gonçalves,Secretário de Estado da Habitação,2020-09-17
Teresa Coelho,Secretário de Estado das Pescas,2020-09-17
Teresa Coelho,Secretário de Estado das Pescas,2020-09-17
Ricardo Pinheiro,Secretário de Estado do Planeamento,2020-11-06
Ricardo Pinheiro,Secretário de Estado do Planeamento,2020-11-06
Francisca Van Dunem,Ministro da Administração Interna,2021-12-04
António Costa,Ministro dos Negócios Estrangeiros,2022-03-28
José Luís Carneiro,Ministro da Administração Interna,2022-03-30
Elvira Fortunato,"Ministro da Ciência, Tecnologia e Ensino Superior",2022-03-30
Pedro Adão e Silva,Ministro da Cultura,2022-03-30
Helena Carreiras,Ministro da Defesa Nacional,2022-03-30
João Costa,Ministro da Educação,2022-03-30
Catarina Sarmento e Castro,Ministro da Justiça,2022-03-30
Mariana Vieira da Silva,Ministro da Presidência,2022-03-30
Fernando Medina,Ministro das Finanças,2022-03-30
Pedro Nuno Santos,Ministro das Infraestruturas e da Habitação,2022-03-30
Duarte Cordeiro,Ministro do Ambiente e da Ação Climática,2022-03-30
António Costa Silva,Ministro do Mar,2022-03-30
Ana Catarina Mendes,Ministro dos Assuntos Parlamentares,2022-03-30
João Gomes Cravinho,Ministro dos Negócios Estrangeiros,2022-03-30
Jorge Alves Costa,Secretário de Estado Adjunto e da Justiça,2022-03-30
Isabel Oneto,Secretário de Estado da Administração Interna,2022-03-30
Carlos Manuel Soares Miguel,Secretário de Estado da Administração Local e Ordenamento do Território,2022-03-30
Inês Ramires,Secretário de Estado da Administração Pública,2022-03-30
Rui Martinho,Secretário de Estado da Agricultura,2022-03-30
João Paulo Catarino,Secretário de Estado da Conservação da Natureza e Florestas,2022-03-30
Isabel Cordeiro,Secretário de Estado da Cultura,2022-03-30
Marco Capitão Ferreira,Secretário de Estado da Defesa,2022-03-30
Mário Campolargo,Secretário de Estado da Digitalização e da Modernização Administrativa,2022-03-30
João Neves,Secretário de Estado da Economia,2022-03-30
António Leite,Secretário de Estado da Educação,2022-03-30
Marina Gonçalves,Secretário de Estado da Habitação,2022-03-30
Ana Sofia Antunes,Secretário de Estado da Inclusão,2022-03-30
Bernardo Ivo Cruz,Secretário de Estado da Internacionalização,2022-03-30
Pedro Tavares,Secretário de Estado da Justiça,2022-03-30
João Paulo Correia,Secretário de Estado da Juventude e do Desporto,2022-03-30
Jorge Delgado,Secretário de Estado da Mobilidade Urbana,2022-03-30
André Moz Caldas,Secretário de Estado da Presidência do Conselho de Ministros,2022-03-30
Patrícia Gaspar,Secretário de Estado da Proteção Civil,2022-03-30
